id	handle	title	category	descr	bucket
prod_01KTVK85RY5K5PE5M4CPSJ756P	tpl-cya-68	Cat yin and yang Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK852Z90G2D6TDX9ZM4EAQ	tpl-che-70-fm	Chelsea Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYHPAPHVFC515TTS5R	tpl-che-70	Chelsea Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZRPKBTV52X8NX09GG	tpl-coc-76-fm	Coca Cola Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYD0VVP41KHD6NC5NP	tpl-coc-76	Coca Cola Fridge magnet	Fridge Magnets	has	X
prod_01KTVK853029KN66Y24RY2R9WD	tpl-cmm-78-fm	Coffee made my day Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85300QP0WA2YG60JJHK0	tpl-ccl-88-fm	Crazy cat lady Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RY285EJ263412CBRD2	tpl-ccl-88	Crazy cat lady Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYKRYR0DXPXQ6GA26N	tpl-crb-90	Crystal bullshit Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK85RXS5PEBTYX3GERWF1K	tpl-crb-90-fm	Crystal bullshit Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK85RZG4QN055PDGNKHWAE	tpl-cus-99	Cute sushi Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530RE36G40GB7JAX7P6	tpl-cus-99-fm	Cute sushi Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RZGXP88Q4AT4F13AS0	tpl-doa-110	Dog approved Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85308J822BVYHETDPC7S	tpl-dou-117-fm	Doughnut Fridge magnet	Fridge Magnets	has	X
prod_01KTVK861Z39BKZV6DDV5G90YP	tpl-dou-117	Doughnut Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYXC09QW2EW1DJB64Y	tpl-dus-122-fm	Duff Simpsons Fridge magnet	Fridge Magnets	has	X
